source,year,rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,194.8,36.2,4528349.023083432,325001.9179226426,39783.34863248092,7729.371753245558,903.3983491685486,173.78516555423067,702.1038922990385,106.02766331837469,672.884152878641,105.24365627482524,133.06160188737968,23.956431903956496,100,0,87.56856679547283,5.097168755697131
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,113,44,3093829.4162202687,272046.974397546,69844.59600811491,8812.37747393327,1653.9774951034776,250.00114887918718,1238.6972774795852,120.31928917490124,1226.3289213902235,119.44496291557776,198.041091732246,24.13358127172201,100,0,95.12736555171504,1.8632033390339429
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,136,22.4,2898963.4934423845,219662.1003280522,100337.13075281862,28953.977546899994,2571.0579001871456,656.3252446677031,1639.2625592394602,194.81207043609035,1613.1870341385961,194.64318452697694,286.273202279291,50.26825196147981,100,0,95.17722596873134,1.7704769834085081
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,660.2,133.6,29523341.553030204,897427.0466673671,51017.85917036903,8916.799497776954,1208.5464530742445,155.75372474407942,920.7865767763969,60.65240316026194,892.5090752501005,60.9132145064453,158.94736785409265,12.319788988737853,100,0,95.2501718478721,1.1180414727527275
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,179.2,39,4932175.192443173,372187.89534313494,36526.0345242823,4465.144457310251,811.068194694331,111.16473241895925,780.9702886508461,106.30894135822935,771.7036135048437,106.29273491526716,138.99774015143916,17.125970544955553,100,0,93.74083035549928,2.95222461525678
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,208,76.6,5078161.428618885,374457.27287024696,53085.78481588151,6869.258556114699,1106.2136637491742,120.76321980126188,924.1708743324805,74.23683056920524,894.9470834496442,73.06439634833775,165.2375939084589,14.957861733792042,100,0,93.73219191153879,2.248072898257712
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,102.2,28.6,2681615.0276952083,295029.24440823664,29897.078932400065,3688.7503041407845,734.7895553642038,111.90833938276741,731.5597760333787,111.61514320548295,648.6299780496803,82.24855579915747,120.24894236104736,17.77909796414645,100,0,87.22215014107152,8.910247771088013
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,480.6,78.2,22627405.510380115,715324.4999158481,34530.870447992485,3352.997033490703,754.8562780095971,63.864034542897286,674.9365697119472,50.58035820594111,630.708355060573,49.24969595721654,116.71362706601157,10.131815570433892,100,0,88.47338774323838,3.0140474331673777
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,194.8,36.2,4528349.023083432,325001.9179226426,39783.34863248092,7729.371753245558,1817.0303536213194,313.09749364220625,1146.7791137272973,146.83546942308868,1085.260794269812,142.42389441178577,216.62260913414278,32.95316948159485,100,0,87.56856679547283,5.097168755697131
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,113,44,3093829.4162202687,272046.974397546,69844.59600811491,8812.37747393327,3394.3086453855253,529.9544919151324,1607.5565299450368,126.41470050680913,1592.778555418747,125.06937816161572,248.6464213524186,25.020553513903298,100,0,95.12736555171504,1.8632033390339429
